18	1	1.0	1.08	1.17	1.03	1.04	1.05	0.77	0.44	0.64	0.74	0.88	0.67
91	1	1.0	1.16	1.2	0.93	0.86	0.49	0.45	0.53	0.45	0.56	0.64	0.64
92	1	1.0	1.05	1.13	1.01	0.77	0.43	0.33	0.51	0.49	0.6	0.5	0.69
134	2	1.0	0.86	0.99	0.97	0.71	0.62	0.49	0.47	0.46	0.71	0.71	0.87
158	2	1.0	0.77	0.56	0.67	0.72	0.64	0.46	0.4	0.34	0.73	0.64	0.64
206	2	1.0	1.01	0.79	0.92	0.81	0.54	0.42	0.37	0.32	0.8	1.23	1.07
209	2	1.0	0.88	0.82	0.86	0.83	0.56	0.39	0.56	0.49	0.83	0.97	1.25
295	3	1.0	1.14	1.94	1.42	1.01	1.04	0.83	0.75	0.41	0.23	0.2	0.17
305	4	1.0	1.07	0.94	0.72	0.91	0.62	0.44	0.55	0.58	0.85	1.15	1.37
318	4	1.0	0.85	0.77	0.76	0.63	0.31	0.42	0.62	0.73	1.11	0.99	1.17
335	4	1.0	0.82	1.01	0.98	0.87	0.93	0.96	1.08	1.67	3.42	5.71	6.62
469	8	1.0	1.03	1.12	1.0	1.05	2.11	3.21	3.58	3.7	3.19	3.36	3.04
484	9	1.0	0.96	1.49	1.48	3.59	4.14	3.03	3.57	2.06	2.2	2.28	1.86
516	10	1.0	1.52	4.39	7.03	5.45	2.93	3.91	4.44	2.4	1.97	2.21	1.79
